# Format: timestamp,récompense,longueur_épisode
1775019832.0827758,0.0,122
1775019892.7910483,0.0,122
1775019953.5570033,0.0,122
1775020014.1605406,0.0,122
1775020074.6635776,0.0,122
1775020135.2955027,0.0,122
1775020195.7655308,0.0,122
1775020256.3431537,0.0,122
1775020317.0501430,0.0,122
1775020377.6741257,0.0,122
1775020438.2589021,0.0,122
1775020498.8357482,0.0,122
1775020559.4122729,0.0,122
1775020620.1421387,0.0,122
1775020680.6712303,0.0,122
1775020741.2526703,0.0,122
1775020801.7209649,0.0,122
1775020862.2948773,0.0,122
1775020922.8468072,0.0,122
1775020983.4174690,0.0,122
1775021044.0271058,0.0,122
1775021104.6053534,0.0,122
1775021165.1985676,0.0,122
1775021226.0544617,0.0,122
1775021286.6468418,0.0,122
1775021347.1238372,0.0,122
1775021407.7261496,0.0,122
1775021468.3616335,0.0,122
1775021528.9097099,0.0,122
1775021589.7315025,0.0,122
1775021650.3328254,0.0,122
1775021711.0992024,0.0,122
1775021771.8349226,0.0,122
1775021832.3811131,0.0,122
1775021893.2021315,0.0,122
1775021953.6978886,0.0,122
1775022014.2831266,0.0,122
1775022075.0935206,0.0,122
1775022135.6459899,0.0,122
1775022196.0943551,0.0,122
1775022256.5437407,0.0,122
1775022317.3490403,0.0,122
1775022377.9236002,0.0,122
1775022438.4786441,0.0,122
1775022499.0888858,0.0,122
1775022559.6847837,0.0,122
1775022620.2863789,0.0,122
1775022681.1545019,0.0,122
1775022741.6195097,0.0,122
1775022802.1889141,0.0,122
1775022862.8019381,0.0,122
1775022923.2569573,0.0,122
1775022983.9223521,0.0,122
1775023044.5018685,0.0,122
1775023105.1213248,0.0,122
1775023165.6851568,0.0,122
1775023226.1915505,0.0,122
1775023286.7961843,0.0,122
1775023347.3922908,0.0,122
1775023407.9921684,0.0,122
1775023468.5750515,0.0,122
1775023529.1835592,0.0,122
1775023589.8138490,0.0,122
1775023650.4418414,0.0,122
1775023711.0555928,0.0,122
1775023771.6226833,0.0,122
1775023832.1385670,0.0,122
1775023892.7085931,0.0,122
1775023953.3032429,0.0,122
1775024013.9295588,0.0,122
1775024074.3838494,0.0,122
1775024134.8465843,0.0,122
1775024195.3998511,0.0,122
1775024255.9496508,0.0,122
1775024316.5571184,0.0,122
1775024377.1219168,0.0,122
1775024437.7292295,0.0,122
1775024498.2257452,0.0,122
1775024558.6926296,0.0,122
1775024619.5481985,0.0,122
1775024680.1841226,0.0,122
1775024740.7425959,0.0,122
1775024801.3023918,0.0,122
1775024861.9220943,0.0,122
1775024922.5007896,0.0,122
1775024983.2991011,0.0,122
1775025043.8844957,0.0,122
1775025104.5567284,0.0,122
1775025165.3258884,0.0,122
1775025225.9428101,0.0,122
1775025286.5502644,0.0,122
1775025347.1484208,0.0,122
1775025407.9766965,0.0,122
1775025468.5480952,0.0,122
1775025529.3224242,0.0,122
1775025590.1200609,0.0,122
1775025650.8571851,0.0,122
1775025711.6523364,0.0,122
1775025772.2727122,0.0,123
1775025832.8779645,0.0,122
1775025893.4947002,0.0,122
1775025954.1845310,0.0,122
1775026014.7607684,0.0,122
1775026075.3536699,0.0,122
1775026135.9417527,0.0,122
1775026196.5472238,0.0,122
1775026257.1578140,0.0,122
1775026317.8336861,0.0,122
1775026378.4118798,0.0,122
1775026439.1384566,0.0,122
1775026499.7116921,0.0,122
1775026560.4264164,0.0,122
1775026621.2514415,0.0,122
1775026681.8677015,0.0,122
1775026742.6977804,0.0,122
1775026803.2978437,0.0,122
1775026863.9524553,0.0,122
1775026924.5878263,0.0,122
1775026985.1131496,0.0,122
1775027045.9665954,0.0,122
1775027106.5697303,0.0,122
1775027167.2679379,0.0,122
1775027228.0825267,0.0,122
1775027288.8985009,0.0,122
1775027349.4517655,0.0,122
1775027410.2718384,0.0,122
1775027470.7621236,0.0,122
1775027531.5383744,0.0,122
1775027592.0566759,0.0,122
1775027652.5718782,0.0,122
1775027713.1746905,0.0,122
1775027773.7744942,0.0,122
1775027834.5815492,0.0,122
1775027895.2147603,0.0,122
1775027955.9953799,0.0,122
1775028016.5983679,0.0,122
1775028077.1186585,0.0,122
1775028137.9227397,0.0,122
1775028198.5598314,0.0,122
1775028259.2951393,0.0,122
1775028319.9514153,0.0,122
1775028380.4707358,0.0,122
1775028441.0671837,0.0,122
1775028501.6250432,0.0,122
1775028562.2231104,0.0,122
1775028622.7244408,0.0,122
1775028683.3615398,0.0,122
1775028743.9717791,0.0,122
1775028804.8463259,0.0,122
1775028865.4099789,0.0,122
1775028927.5103528,0.0,122
1775028988.2117784,0.0,122
1775029048.8778963,0.0,122
1775029109.4830410,0.0,122
1775029170.1307864,0.0,122
1775029230.8115287,0.0,122
1775029291.3621728,0.0,122
1775029352.0645387,0.0,122
1775029412.6750922,0.0,122
1775029473.2545094,0.0,122
1775029533.8717086,0.0,122
1775029594.7311592,0.0,122
1775029655.3387616,0.0,122
1775029715.9555290,0.0,122
1775029776.5773194,0.0,122
1775029837.3328454,0.0,122
1775029897.9696023,0.0,122
1775029958.5064948,0.0,122
1775030019.0851989,0.0,122
1775030079.6352770,0.0,122
1775030140.2172143,0.0,122
1775030200.7442715,0.0,122
1775030261.3462687,0.0,122
1775030322.0905323,0.0,122
1775030382.8751619,0.0,122
1775030443.5827503,0.0,122
1775030504.4153466,0.0,122
1775030565.0205297,0.0,122
1775030626.5973561,0.0,122
1775030687.1632936,0.0,122
1775030747.8202538,0.0,122
1775030808.3026025,0.0,122
1775030868.8690395,0.0,122
1775030929.5036099,0.0,122
1775030990.1731646,0.0,122
1775031050.7984188,0.0,122
1775031111.4176822,0.0,122
1775031172.0539050,0.0,122
1775031232.6294980,0.0,122
1775031293.2448411,0.0,122
1775031353.8647130,0.0,122
1775031414.5052466,0.0,122
1775031475.0941184,0.0,122
1775031535.9870152,0.0,123
1775031596.6033020,0.0,122
1775031657.2284718,0.0,122
1775031717.9640684,0.0,122
1775031778.7493801,0.0,122
1775031839.3309298,0.0,122
1775031900.4265168,0.0,122
1775031961.0547621,0.0,122
1775032021.6033690,0.0,122
1775032082.2382979,0.0,122
